,smiles,pH,logP
239,CC(C)CC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C,7.0,0.23
240,CC(C)CC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,7.0,-0.73
241,CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O,7.0,-1.17
242,CC(C)CC(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(N)C(C)C)C(C)C)C(=O)O,7.0,-1.23
243,CC(C)CC(NC(=O)C(NC(=O)C1CCCN1C(=O)C(N)C(C)C)C(C)C)C(=O)O,7.0,-1.91
244,CC(C)CC(NC(=O)C([NH3+])Cc1ccc(O)cc1)C(=O)NC(C(=O)[O-])C(C)C,7.0,-1.45
245,CC(C)CC(NC(=O)C1CCCN1)C(=O)O,7.0,-2.41
246,CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NC(C(=O)O)c1ccccc1,7.4,1.22
247,CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NC(Cc1cccc(CN)c1)C(=O)O,7.4,1.83
248,CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCCC(N)C(=O)O,7.4,1.08
249,CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCCCN(CCO)CCO,7.4,1.4
250,CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1cccc(CN)c1,7.4,1.89
251,CC(C)CC(NC(=O)CN)C(=O)O,7.0,-0.78
252,CC(C)CC([NH3+])C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)[O-],7.0,-1.56
253,CC(C)CC([NH3+])C(=O)N1CCCC1C(=O)[O-],7.0,-1.76
254,CC(C)CC([NH3+])C(=O)NC(C=O)C(=O)NC(CC(C)C)C([O-])O,7.0,-2.35
255,CC(C)CC([NH3+])C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)[O-],7.0,-1.58
256,CC(C)COC(=O)n1c(-c2cscn2)nc2ccccc21,6.0,3.46
257,CC(C)COC(=O)n1cc(F)c(=O)[nH]c1=O,4.0,0.87
